Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
360	244	615.88367	467.07294	1036.4869	1060.4399	1076.5505	796.90405	957.72809	947.3045	1107.1222
361	244	615.63153	468.25269	1036.2205	1060.3201	1076.1782	796.29468	957.14813	947.3045	1106.8618
362	244	615.26947	468.16376	1035.9669	1060.21	1075.7468	795.96619	956.56122	947.3045	1106.5417
363	244	614.841	468.0748	1035.7133	1060.17	1075.3407	795.6615	955.96722	947.3045	1106.1747
364	244	614.31812	467.98587	1035.4272	1060.13	1074.994	795.19971	955.38031	947.3045	1105.765
365	244	613.65601	467.89694	1035.1151	1060.12	1074.7317	794.52844	954.77936	947.3045	1105.4363
366	244	612.97522	467.80801	1034.7965	1060.1101	1074.5414	793.77618	954.17853	947.3045	1105.1547
367	244	612.32111	467.71906	1034.4908	1060.0801	1074.5625	793.03357	953.58453	947.3045	1104.9283
368	244	611.8689	467.63013	1034.2113	1060.0402	1074.2919	792.38605	952.99066	947.3045	1104.7107
369	244	611.58899	467.5412	1033.9707	1059.7601	1073.6743	791.94806	952.39667	947.3045	1104.5229
370	244	611.27405	467.45227	1033.7756	1059.7401	1072.9763	791.68146	951.78876	947.3045	1104.3566
371	244	610.99988	467.36331	1033.5935	1059.5601	1072.363	791.31012	951.19489	947.3045	1104.2072
372	244	610.65997	467.27438	1033.405	1059.35	1071.8936	790.69122	950.60095	947.3045	1104.0748
373	244	610.31952	467.18546	1033.184	1059.1301	1071.5848	789.86279	950.00702	947.3045	1103.9553
374	244	609.90887	467.09653	1032.9238	1058.8801	1071.3903	788.98212	949.40607	947.3045	1103.8401
375	244	609.51807	467.00757	1032.6117	1058.6301	1071.386	788.13464	948.81213	947.3045	1103.7334
376	244	609.26141	466.91864	1032.2606	1058.3002	1071.0308	787.41583	946.28271	947.3045	1103.6096
377	244	608.96381	468.04135	1031.8705	1058	1070.4556	786.88257	945.73071	947.3045	1103.4858
378	244	608.62762	466.53314	1031.4739	1057.6702	1069.9015	786.66833	945.18567	947.3045	1103.3961
379	244	608.23602	462.91647	1030.8497	1057.3199	1069.5208	786.11127	944.62671	947.3045	1103.392
380	244	607.88904	462.98669	1030.3296	1056.91	1069.2797	785.14484	944.07471	947.3045	1103.2894
381	244	607.63898	463.05692	1029.9069	1056.03	1069.1401	783.8833	943.52271	947.3045	1103.0504
382	244	607.43225	463.12711	1029.2827	1055.46	1068.954	782.64545	942.96375	947.3045	1102.645
383	244	607.2027	463.19733	1028.8535	1055.11	1068.9963	781.77899	942.40466	947.3045	1102.2866
384	244	606.80548	463.26755	1028.4958	1054.88	1068.5352	781.24103	941.8457	947.3045	1101.9025
385	244	606.22864	463.33777	1028.0408	1054.67	1068.0699	780.9649	941.28668	947.3045	1101.5354
386	244	605.60779	463.40796	1026.9159	1054.86	1067.609	780.89825	940.71375	947.3045	1101.1982
387	244	604.9325	463.47818	1026.9485	1053.5402	1067.1478	780.0556	940.14777	947.3045	1100.8611
388	244	604.58655	463.5484	1026	1054.36	1066.6869	779.35101	939.57477	947.3045	1100.5026
389	244	604.33813	463.61862	1025.4985	1053.95	1066.2174	777.95129	938.98785	947.3045	1100.0502
390	244	604.26093	463.68881	1025.3359	1053.8201	1065.7563	776.57068	938.4079	947.3045	1099.6233
391	244	603.97961	463.75903	1025.5505	1053.51	1065.2953	775.35663	937.82098	947.3045	1099.1752
392	244	603.70947	463.82925	1025.4725	1053.0302	1065.4265	774.38068	937.22699	947.3045	1098.7228
393	244	603.31451	463.89948	1025.2384	1052.28	1065.4095	773.88562	936.61908	947.3045	1098.1936
394	244	602.88141	463.96967	1024.7637	1051.3	1065.1262	773.59515	936.00421	947.3045	1097.5492
395	244	602.34814	464.03989	1024.224	1050.6802	1064.6185	772.80963	935.61292	947.3045	1097.0968
396	244	601.81458	464.11011	1023.6974	1050.0302	1063.7303	771.4671	934.70453	947.3045	1096.845
397	244	601.23474	464.18033	1023.2227	1049.4102	1062.5968	769.61993	933.66345	947.3045	1096.798
398	244	600.65668	464.25055	1022.8196	1048.79	1061.7255	767.96796	932.54547	947.3045	1096.5121
399	244	600.20398	464.32074	1022.501	1048.2101	1061.7932	767.06818	931.41345	947.3045	1096.1664
400	244	599.84784	464.39096	1022.2344	1047.6201	1061.9116	766.71106	930.28149	947.3045	1095.8248
401	244	599.4549	464.46118	1021.9743	1047.0502	1061.7635	766.79199	929.19849	947.3045	1095.5944
402	244	598.99133	464.5314	1021.6818	1046.5201	1061.349	766.9729	928.24121	947.3045	1095.3553
403	244	598.33746	464.60159	1021.3372	1046.5502	1060.723	765.63989	927.44464	947.3045	1095.0951
404	244	597.70435	464.67181	1020.96	1045.9601	1059.9617	763.48322	927.55646	947.3045	1094.8262
405	244	597.04504	464.74203	1020.5894	1045.4	1059.2596	760.62201	926.82977	947.3045	1094.5446
406	244	596.55627	464.81226	1020.2123	1044.9301	1058.9846	759.4032	926.10303	947.3045	1094.2585
